Skin Tone,Season,Color Name,Hex Code,R_Value,G_Value,B_Value
Ivory,Spring,Light Coral,#F08080,255,255,240
Ivory,Spring,Peach,#FFDAB9,255,255,240
Ivory,Spring,Warm Ivory,#FFFAF0,255,255,240
Ivory,Spring,Golden Beige,#F5DEB3,255,255,240
Ivory,Spring,Soft Yellow,#FFFFE0,255,255,240
Ivory,Summer,Cool Blue,#87CEFA,255,255,240
Ivory,Summer,Lavender,#E6E6FA,255,255,240
Ivory,Summer,Soft Pink,#FFB6C1,255,255,240
Ivory,Summer,Cool Beige,#F5F5DC,255,255,240
Ivory,Summer,Light Grey,#D3D3D3,255,255,240
Ivory,Autumn,Olive Green,#808000,255,255,240
Ivory,Autumn,Mustard Yellow,#FFDB58,255,255,240
Ivory,Autumn,Warm Sand,#F4A460,255,255,240
Ivory,Autumn,Amber,#FFBF00,255,255,240
Ivory,Autumn,Burnt Orange,#CC5500,255,255,240
Ivory,Winter,Deep Red,#8B0000,255,255,240
Ivory,Winter,Cool Espresso,#4B3832,255,255,240
Ivory,Winter,Cool Almond,#EFDECD,255,255,240
Ivory,Winter,Mocha,#6F4E37,255,255,240
Ivory,Winter,Dark Teal,#014421,255,255,240
Vanilla,Spring,Soft Peach,#FFDAB9,249,229,188
Vanilla,Spring,Blush,#FFC0CB,249,229,188
Vanilla,Spring,Light Apricot,#F5DEB3,249,229,188
Vanilla,Spring,Buttermilk,#FFFACD,249,229,188
Vanilla,Spring,Banana,#FFFF99,249,229,188
Vanilla,Summer,Periwinkle,#CCCCFF,249,229,188
Vanilla,Summer,Light Lavender,#E6E6FA,249,229,188
Vanilla,Summer,Rose,#FF007F,249,229,188
Vanilla,Summer,Snow,#FFFAFA,249,229,188
Vanilla,Summer,Pale Blue,#AFEEEE,249,229,188
Vanilla,Autumn,Moss Green,#8A9A5B,249,229,188
Vanilla,Autumn,Golden Brown,#996515,249,229,188
Vanilla,Autumn,Tawny,#CD5700,249,229,188
Vanilla,Autumn,Goldenrod,#DAA520,249,229,188
Vanilla,Autumn,Rust,#B7410E,249,229,188
Vanilla,Winter,Cherry,#DE3163,249,229,188
Vanilla,Winter,Dark Chocolate,#3C2F2F,249,229,188
Vanilla,Winter,Ivory,#FFFFF0,249,229,188
Vanilla,Winter,Ruby,#E0115F,249,229,188
Vanilla,Winter,Sea Green,#2E8B57,249,229,188
Shell,Spring,Light Pink,#FFB6C1,255,245,238
Shell,Spring,Warm Blush,#FF69B4,255,245,238
Shell,Spring,Apricot,#FBCEB1,255,245,238
Shell,Spring,Cream,#FFFDD0,255,245,238
Shell,Spring,Lemon,#FFF44F,255,245,238
Shell,Summer,Baby Blue,#89CFF0,255,245,238
Shell,Summer,Light Purple,#D8BFD8,255,245,238
Shell,Summer,Soft Rose,#FFB6C1,255,245,238
Shell,Summer,White,#FFFFFF,255,245,238
Shell,Summer,Aqua,#00FFFF,255,245,238
